Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,00,2015-00,27.39,27.39,27.39,27.39,0.0,18.43,0.0,18.43,18.43
2015-01-05,2015,1,5,Monday,01,2015-01,27.51,27.51,27.05,27.24,1400.0,18.33,-0.0054762674891901675,18.38,18.38
2015-01-06,2015,1,6,Tuesday,01,2015-01,27.47,27.47,27.27,27.35,1200.0,18.4,0.004038022080015802,18.386666666666667,18.386666666666667
2015-01-07,2015,1,7,Wednesday,01,2015-01,27.05,27.35,26.81,27.35,11000.0,18.4,0.0,18.39,18.39
2015-01-08,2015,1,8,Thursday,01,2015-01,27.33,27.33,27.33,27.33,500.0,18.39,-0.0007309880902428567,18.389999999999997,18.389999999999997
2015-01-09,2015,1,9,Friday,01,2015-01,27.47,27.5,27.12,27.16,1500.0,18.27,-0.0062206410596333805,18.37,18.37
2015-01-12,2015,1,12,Monday,02,2015-02,26.81,26.91,26.77,26.91,2200.0,18.1,-0.009204717732288592,18.33142857142857,18.33142857142857
2015-01-13,2015,1,13,Tuesday,02,2015-02,27.41,27.41,27.41,27.41,300.0,18.44,0.018580568737105674,18.345,18.345
2015-01-14,2015,1,14,Wednesday,02,2015-02,27.32,27.32,27.01,27.01,1700.0,18.17,-0.014593241060032791,18.325555555555557,18.325555555555557
2015-01-15,2015,1,15,Thursday,02,2015-02,26.95,27.12,26.71,26.75,4000.0,18.0,-0.009626140159312957,18.293,18.293
2015-01-16,2015,1,16,Friday,02,2015-02,27.01,27.16,26.52,26.86,1600.0,18.07,0.004112202583074875,18.272727272727273,18.272727272727273
2015-01-20,2015,1,20,Tuesday,03,2015-03,26.69,27.19,26.68,26.71,5300.0,17.97,-0.0055847471554065775,18.2475,18.2475
2015-01-21,2015,1,21,Wednesday,03,2015-03,26.85,26.97,26.85,26.97,200.0,18.14,0.009734261072986028,18.23923076923077,18.23923076923077
2015-01-22,2015,1,22,Thursday,03,2015-03,26.83,26.95,26.7,26.95,5700.0,18.13,-0.0007411825451353327,18.231428571428573,18.231428571428573
2015-01-23,2015,1,23,Friday,03,2015-03,27.0,27.01,26.77,26.99,4400.0,18.16,0.0014837801943483608,18.212142857142858,18.226666666666667
2015-01-26,2015,1,26,Monday,04,2015-04,26.98,27.03,26.98,27.03,1400.0,18.19,0.0014822120894137925,18.202142857142857,18.224375
2015-01-27,2015,1,27,Tuesday,04,2015-04,27.14,27.14,26.82,26.85,4200.0,18.06,-0.006659191233038597,18.177857142857142,18.21470588235294
2015-01-28,2015,1,28,Wednesday,04,2015-04,26.8,26.93,26.8,26.8,4000.0,18.03,-0.001862346040746088,18.15142857142857,18.204444444444444
2015-01-29,2015,1,29,Thursday,04,2015-04,26.77,26.92,26.75,26.92,3500.0,18.11,0.00447752573411031,18.13142857142857,18.199473684210528
